"场景ID","场景特征","检测性能","模型状态","性能对比","时间"
"S001","高分辨率近岸 | X波段 | HH极化 | 密集停靠","mAP50:0.852\nmAP50-95:0.563\n召回率:0.891\n小目标AP:0.412","MBE-Net v1.0\n推理速度:85FPS\n模型大小:5.2MB","优于Faster R-CNN基线+12.3%","2025-01"
"S002","中等分辨率开阔海域 | C波段 | VV极化 | 小型渔船","mAP50:0.828\nmAP50-95:0.542\n召回率:0.871\n小目标AP:0.458","MBE-Net v1.1\n推理速度:88FPS\n模型大小:5.1MB","优于YOLOv8n基线+9.5%","2025-02"
"S003","低分辨率大范围 | L波段 | HH极化 | 大型货轮","mAP50:0.897\nmAP50-95:0.618\n召回率:0.928\n虚警率:2.9%","MBE-Net v1.1\n推理速度:88FPS\n模型大小:5.1MB","优于SSD基线+15.8%","2025-02"
"S004","高海况复杂背景 | C波段 | VV+VH | 散斑严重","mAP50:0.772\nmAP50-95:0.486\n召回率:0.811\n虚警率:7.8%","MBE-Net v1.1\n推理速度:88FPS\n模型大小:5.1MB","优于YOLOv8n基线+6.1%","2025-02"
"S005","港口区域 | X波段 | HH极化 | 目标密集","mAP50:0.819\nmAP50-95:0.529\n召回率:0.852\n密集目标AP:0.635","MBE-Net v1.1\n推理速度:88FPS\n模型大小:5.1MB","优于Faster R-CNN基线+10.5%","2025-02"
"S006","岛屿周边 | C波段 | HH+HV | 背景杂乱","mAP50:0.791\nmAP50-95:0.504\n召回率:0.829\n虚警率:6.5%","MBE-Net v1.1\n推理速度:88FPS\n模型大小:5.1MB","优于YOLOv8n基线+7.3%","2025-02"
"S007","近岸浅水区 | X波段 | VV极化 | 小目标","mAP50:0.753\nmAP50-95:0.461\n召回率:0.793\n小目标AP:0.412","MBE-Net v1.1\n推理速度:88FPS\n模型大小:5.1MB","优于YOLOv8n基线+5.6%","2025-02"
"S008","远海航线 | L波段 | HH极化 | 多尺度","mAP50:0.882\nmAP50-95:0.605\n召回率:0.918\n多尺度AP:0.698","MBE-Net v1.1\n推理速度:88FPS\n模型大小:5.1MB","优于SSD基线+14.3%","2025-02"
"S009","沿海养殖区 | C波段 | VV极化 | 低对比度","mAP50:0.741\nmAP50-95:0.444\n召回率:0.776\n低对比度AP:0.368","MBE-Net v1.1\n推理速度:88FPS\n模型大小:5.1MB","优于YOLOv8n基线+4.7%","2025-02"
"S010","海峡航道 | X波段 | HH+VV | 高速运动","mAP50:0.805\nmAP50-95:0.521\n召回率:0.843\n运动目标AP:0.592","MBE-Net v1.1\n推理速度:88FPS\n模型大小:5.1MB","优于Faster R-CNN基线+8.6%","2025-02"
"S001","高分辨率近岸 | X波段 | HH极化 | 密集停靠","mAP50:0.865\nmAP50-95:0.582\n召回率:0.903\n小目标AP:0.441","MBE-Net v1.2\n推理速度:92FPS\n模型大小:4.9MB","优于Faster R-CNN基线+14.2%","2025-03"
"S002","中等分辨率开阔海域 | C波段 | VV极化 | 小型渔船","mAP50:0.836\nmAP50-95:0.553\n召回率:0.879\n小目标AP:0.475","MBE-Net v1.2\n推理速度:92FPS\n模型大小:4.9MB","优于YOLOv8n基线+10.5%","2025-03"
"S003","低分辨率大范围 | L波段 | HH极化 | 大型货轮","mAP50:0.902\nmAP50-95:0.627\n召回率:0.934\n虚警率:2.5%","MBE-Net v1.2\n推理速度:92FPS\n模型大小:4.9MB","优于SSD基线+16.5%","2025-03"
"S004","高海况复杂背景 | C波段 | VV+VH | 散斑严重","mAP50:0.781\nmAP50-95:0.497\n召回率:0.822\n虚警率:7.1%","MBE-Net v1.2\n推理速度:92FPS\n模型大小:4.9MB","优于YOLOv8n基线+7.2%","2025-03"
"S005","港口区域 | X波段 | HH极化 | 目标密集","mAP50:0.828\nmAP50-95:0.541\n召回率:0.861\n密集目标AP:0.651","MBE-Net v1.2\n推理速度:92FPS\n模型大小:4.9MB","优于Faster R-CNN基线+11.5%","2025-03"
"S006","岛屿周边 | C波段 | HH+HV | 背景杂乱","mAP50:0.802\nmAP50-95:0.515\n召回率:0.838\n虚警率:5.8%","MBE-Net v1.2\n推理速度:92FPS\n模型大小:4.9MB","优于YOLOv8n基线+8.4%","2025-03"
"S007","近岸浅水区 | X波段 | VV极化 | 小目标","mAP50:0.764\nmAP50-95:0.473\n召回率:0.804\n小目标AP:0.431","MBE-Net v1.2\n推理速度:92FPS\n模型大小:4.9MB","优于YOLOv8n基线+6.7%","2025-03"
"S008","远海航线 | L波段 | HH极化 | 多尺度","mAP50:0.889\nmAP50-95:0.615\n召回率:0.925\n多尺度AP:0.712","MBE-Net v1.2\n推理速度:92FPS\n模型大小:4.9MB","优于SSD基线+15.2%","2025-03"
"S009","沿海养殖区 | C波段 | VV极化 | 低对比度","mAP50:0.752\nmAP50-95:0.456\n召回率:0.787\n低对比度AP:0.385","MBE-Net v1.2\n推理速度:92FPS\n模型大小:4.9MB","优于YOLOv8n基线+5.8%","2025-03"
"S010","海峡航道 | X波段 | HH+VV | 高速运动","mAP50:0.815\nmAP50-95:0.533\n召回率:0.854\n运动目标AP:0.611","MBE-Net v1.2\n推理速度:92FPS\n模型大小:4.9MB","优于Faster R-CNN基线+9.7%","2025-03"
"S001","高分辨率近岸 | X波段 | HH极化 | 密集停靠","mAP50:0.872\nmAP50-95:0.594\n召回率:0.911\n小目标AP:0.458","MBE-Net v2.0\n推理速度:96FPS\n模型大小:4.7MB","优于Faster R-CNN基线+15.3%","2025-04"
"S002","中等分辨率开阔海域 | C波段 | VV极化 | 小型渔船","mAP50:0.845\nmAP50-95:0.565\n召回率:0.887\n小目标AP:0.492","MBE-Net v2.0\n推理速度:96FPS\n模型大小:4.7MB","优于YOLOv8n基线+11.5%","2025-04"
"S003","低分辨率大范围 | L波段 | HH极化 | 大型货轮","mAP50:0.908\nmAP50-95:0.636\n召回率:0.941\n虚警率:2.1%","MBE-Net v2.0\n推理速度:96FPS\n模型大小:4.7MB","优于SSD基线+17.3%","2025-04"
"S004","高海况复杂背景 | C波段 | VV+VH | 散斑严重","mAP50:0.792\nmAP50-95:0.509\n召回率:0.834\n虚警率:6.3%","MBE-Net v2.0\n推理速度:96FPS\n模型大小:4.7MB","优于YOLOv8n基线+8.4%","2025-04"
"S005","港口区域 | X波段 | HH极化 | 目标密集","mAP50:0.838\nmAP50-95:0.554\n召回率:0.872\n密集目标AP:0.668","MBE-Net v2.0\n推理速度:96FPS\n模型大小:4.7MB","优于Faster R-CNN基线+12.6%","2025-04"
"S006","岛屿周边 | C波段 | HH+HV | 背景杂乱","mAP50:0.813\nmAP50-95:0.528\n召回率:0.848\n虚警率:5.1%","MBE-Net v2.0\n推理速度:96FPS\n模型大小:4.7MB","优于YOLOv8n基线+9.5%","2025-04"
"S007","近岸浅水区 | X波段 | VV极化 | 小目标","mAP50:0.776\nmAP50-95:0.487\n召回率:0.816\n小目标AP:0.452","MBE-Net v2.0\n推理速度:96FPS\n模型大小:4.7MB","优于YOLOv8n基线+7.9%","2025-04"
"S008","远海航线 | L波段 | HH极化 | 多尺度","mAP50:0.896\nmAP50-95:0.626\n召回率:0.932\n多尺度AP:0.728","MBE-Net v2.0\n推理速度:96FPS\n模型大小:4.7MB","优于SSD基线+16.2%","2025-04"
"S009","沿海养殖区 | C波段 | VV极化 | 低对比度","mAP50:0.764\nmAP50-95:0.469\n召回率:0.799\n低对比度AP:0.402","MBE-Net v2.0\n推理速度:96FPS\n模型大小:4.7MB","优于YOLOv8n基线+7.1%","2025-04"
"S010","海峡航道 | X波段 | HH+VV | 高速运动","mAP50:0.826\nmAP50-95:0.546\n召回率:0.865\n运动目标AP:0.632","MBE-Net v2.0\n推理速度:96FPS\n模型大小:4.7MB","优于Faster R-CNN基线+10.8%","2025-04"
"S001","高分辨率近岸 | X波段 | HH极化 | 密集停靠","mAP50:0.878\nmAP50-95:0.603\n召回率:0.918\n小目标AP:0.472","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于Faster R-CNN基线+16.1%","2025-05"
"S002","中等分辨率开阔海域 | C波段 | VV极化 | 小型渔船","mAP50:0.852\nmAP50-95:0.574\n召回率:0.894\n小目标AP:0.508","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于YOLOv8n基线+12.3%","2025-05"
"S003","低分辨率大范围 | L波段 | HH极化 | 大型货轮","mAP50:0.913\nmAP50-95:0.644\n召回率:0.947\n虚警率:1.8%","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于SSD基线+18.1%","2025-05"
"S004","高海况复杂背景 | C波段 | VV+VH | 散斑严重","mAP50:0.801\nmAP50-95:0.518\n召回率:0.843\n虚警率:5.6%","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于YOLOv8n基线+9.3%","2025-05"
"S005","港口区域 | X波段 | HH极化 | 目标密集","mAP50:0.846\nmAP50-95:0.564\n召回率:0.881\n密集目标AP:0.682","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于Faster R-CNN基线+13.5%","2025-05"
"S006","岛屿周边 | C波段 | HH+HV | 背景杂乱","mAP50:0.822\nmAP50-95:0.538\n召回率:0.856\n虚警率:4.5%","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于YOLOv8n基线+10.4%","2025-05"
"S007","近岸浅水区 | X波段 | VV极化 | 小目标","mAP50:0.786\nmAP50-95:0.498\n召回率:0.826\n小目标AP:0.471","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于YOLOv8n基线+8.9%","2025-05"
"S008","远海航线 | L波段 | HH极化 | 多尺度","mAP50:0.902\nmAP50-95:0.635\n召回率:0.938\n多尺度AP:0.741","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于SSD基线+17.1%","2025-05"
"S009","沿海养殖区 | C波段 | VV极化 | 低对比度","mAP50:0.774\nmAP50-95:0.479\n召回率:0.808\n低对比度AP:0.418","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于YOLOv8n基线+8.1%","2025-05"
"S010","海峡航道 | X波段 | HH+VV | 高速运动","mAP50:0.835\nmAP50-95:0.556\n召回率:0.874\n运动目标AP:0.651","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于Faster R-CNN基线+11.8%","2025-05"
"S001","高分辨率近岸 | X波段 | HH极化 | 密集停靠","mAP50:0.875\nmAP50-95:0.598\n召回率:0.914\n小目标AP:0.465","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于Faster R-CNN基线+15.8%","2025-06"
"S002","中等分辨率开阔海域 | C波段 | VV极化 | 小型渔船","mAP50:0.848\nmAP50-95:0.569\n召回率:0.891\n小目标AP:0.501","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于YOLOv8n基线+11.9%","2025-06"
"S003","低分辨率大范围 | L波段 | HH极化 | 大型货轮","mAP50:0.910\nmAP50-95:0.640\n召回率:0.944\n虚警率:2.0%","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于SSD基线+17.8%","2025-06"
"S004","高海况复杂背景 | C波段 | VV+VH | 散斑严重","mAP50:0.797\nmAP50-95:0.513\n召回率:0.839\n虚警率:5.9%","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于YOLOv8n基线+8.9%","2025-06"
"S005","港口区域 | X波段 | HH极化 | 目标密集","mAP50:0.842\nmAP50-95:0.559\n召回率:0.877\n密集目标AP:0.675","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于Faster R-CNN基线+13.1%","2025-06"
"S006","岛屿周边 | C波段 | HH+HV | 背景杂乱","mAP50:0.818\nmAP50-95:0.533\n召回率:0.852\n虚警率:4.8%","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于YOLOv8n基线+10.0%","2025-06"
"S007","近岸浅水区 | X波段 | VV极化 | 小目标","mAP50:0.782\nmAP50-95:0.493\n召回率:0.822\n小目标AP:0.465","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于YOLOv8n基线+8.5%","2025-06"
"S008","远海航线 | L波段 | HH极化 | 多尺度","mAP50:0.899\nmAP50-95:0.631\n召回率:0.935\n多尺度AP:0.735","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于SSD基线+16.8%","2025-06"
"S009","沿海养殖区 | C波段 | VV极化 | 低对比度","mAP50:0.770\nmAP50-95:0.474\n召回率:0.804\n低对比度AP:0.412","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于YOLOv8n基线+7.7%","2025-06"
"S010","海峡航道 | X波段 | HH+VV | 高速运动","mAP50:0.831\nmAP50-95:0.551\n召回率:0.870\n运动目标AP:0.645","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于Faster R-CNN基线+11.4%","2025-06"
"S001","高分辨率近岸 | X波段 | HH极化 | 密集停靠","mAP50:0.871\nmAP50-95:0.592\n召回率:0.909\n小目标AP:0.456","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于Faster R-CNN基线+15.4%","2025-07"
"S002","中等分辨率开阔海域 | C波段 | VV极化 | 小型渔船","mAP50:0.843\nmAP50-95:0.562\n召回率:0.886\n小目标AP:0.493","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于YOLOv8n基线+11.3%","2025-07"
"S003","低分辨率大范围 | L波段 | HH极化 | 大型货轮","mAP50:0.906\nmAP50-95:0.635\n召回率:0.940\n虚警率:2.3%","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于SSD基线+17.4%","2025-07"
"S004","高海况复杂背景 | C波段 | VV+VH | 散斑严重","mAP50:0.792\nmAP50-95:0.507\n召回率:0.834\n虚警率:6.2%","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于YOLOv8n基线+8.4%","2025-07"
"S005","港口区域 | X波段 | HH极化 | 目标密集","mAP50:0.837\nmAP50-95:0.553\n召回率:0.872\n密集目标AP:0.668","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于Faster R-CNN基线+12.6%","2025-07"
"S006","岛屿周边 | C波段 | HH+HV | 背景杂乱","mAP50:0.813\nmAP50-95:0.527\n召回率:0.847\n虚警率:5.2%","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于YOLOv8n基线+9.5%","2025-07"
"S007","近岸浅水区 | X波段 | VV极化 | 小目标","mAP50:0.777\nmAP50-95:0.487\n召回率:0.817\n小目标AP:0.457","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于YOLOv8n基线+8.0%","2025-07"
"S008","远海航线 | L波段 | HH极化 | 多尺度","mAP50:0.895\nmAP50-95:0.626\n召回率:0.931\n多尺度AP:0.728","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于SSD基线+16.3%","2025-07"
"S009","沿海养殖区 | C波段 | VV极化 | 低对比度","mAP50:0.765\nmAP50-95:0.468\n召回率:0.799\n低对比度AP:0.405","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于YOLOv8n基线+7.2%","2025-07"
"S010","海峡航道 | X波段 | HH+VV | 高速运动","mAP50:0.826\nmAP50-95:0.545\n召回率:0.865\n运动目标AP:0.638","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于Faster R-CNN基线+10.9%","2025-07"
"S001","高分辨率近岸 | X波段 | HH极化 | 密集停靠","mAP50:0.866\nmAP50-95:0.585\n召回率:0.903\n小目标AP:0.445","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于Faster R-CNN基线+14.8%","2025-08"
"S002","中等分辨率开阔海域 | C波段 | VV极化 | 小型渔船","mAP50:0.837\nmAP50-95:0.554\n召回率:0.880\n小目标AP:0.482","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于YOLOv8n基线+10.7%","2025-08"
"S003","低分辨率大范围 | L波段 | HH极化 | 大型货轮","mAP50:0.901\nmAP50-95:0.629\n召回率:0.936\n虚警率:2.6%","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于SSD基线+16.9%","2025-08"
"S004","高海况复杂背景 | C波段 | VV+VH | 散斑严重","mAP50:0.786\nmAP50-95:0.500\n召回率:0.828\n虚警率:6.8%","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于YOLOv8n基线+7.8%","2025-08"
"S005","港口区域 | X波段 | HH极化 | 目标密集","mAP50:0.831\nmAP50-95:0.546\n召回率:0.866\n密集目标AP:0.658","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于Faster R-CNN基线+12.0%","2025-08"
"S006","岛屿周边 | C波段 | HH+HV | 背景杂乱","mAP50:0.807\nmAP50-95:0.520\n召回率:0.841\n虚警率:5.6%","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于YOLOv8n基线+8.9%","2025-08"
"S007","近岸浅水区 | X波段 | VV极化 | 小目标","mAP50:0.771\nmAP50-95:0.480\n召回率:0.811\n小目标AP:0.446","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于YOLOv8n基线+7.4%","2025-08"
"S008","远海航线 | L波段 | HH极化 | 多尺度","mAP50:0.890\nmAP50-95:0.620\n召回率:0.927\n多尺度AP:0.718","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于SSD基线+15.8%","2025-08"
"S009","沿海养殖区 | C波段 | VV极化 | 低对比度","mAP50:0.759\nmAP50-95:0.461\n召回率:0.793\n低对比度AP:0.395","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于YOLOv8n基线+6.6%","2025-08"
"S010","海峡航道 | X波段 | HH+VV | 高速运动","mAP50:0.820\nmAP50-95:0.538\n召回率:0.859\n运动目标AP:0.628","MBE-Net v2.1\n推理速度:98FPS\n模型大小:4.6MB","优于Faster R-CNN基线+10.3%","2025-08"
"S001","高分辨率近岸 | X波段 | HH极化 | 密集停靠","mAP50:0.874\nmAP50-95:0.596\n召回率:0.912\n小目标AP:0.462","MBE-Net v2.2\n推理速度:102FPS\n模型大小:4.4MB","优于Faster R-CNN基线+15.7%","2025-09"
"S002","中等分辨率开阔海域 | C波段 | VV极化 | 小型渔船","mAP50:0.847\nmAP50-95:0.567\n召回率:0.889\n小目标AP:0.499","MBE-Net v2.2\n推理速度:102FPS\n模型大小:4.4MB","优于YOLOv8n基线+11.8%","2025-09"
"S003","低分辨率大范围 | L波段 | HH极化 | 大型货轮","mAP50:0.909\nmAP50-95:0.639\n召回率:0.943\n虚警率:2.2%","MBE-Net v2.2\n推理速度:102FPS\n模型大小:4.4MB","优于SSD基线+17.7%","2025-09"
"S004","高海况复杂背景 | C波段 | VV+VH | 散斑严重","mAP50:0.796\nmAP50-95:0.512\n召回率:0.838\n虚警率:6.0%","MBE-Net v2.2\n推理速度:102FPS\n模型大小:4.4MB","优于YOLOv8n基线+8.8%","2025-09"
"S005","港口区域 | X波段 | HH极化 | 目标密集","mAP50:0.841\nmAP50-95:0.558\n召回率:0.876\n密集目标AP:0.672","MBE-Net v2.2\n推理速度:102FPS\n模型大小:4.4MB","优于Faster R-CNN基线+13.0%","2025-09"
"S006","岛屿周边 | C波段 | HH+HV | 背景杂乱","mAP50:0.817\nmAP50-95:0.532\n召回率:0.851\n虚警率:4.9%","MBE-Net v2.2\n推理速度:102FPS\n模型大小:4.4MB","优于YOLOv8n基线+9.9%","2025-09"
"S007","近岸浅水区 | X波段 | VV极化 | 小目标","mAP50:0.781\nmAP50-95:0.492\n召回率:0.821\n小目标AP:0.462","MBE-Net v2.2\n推理速度:102FPS\n模型大小:4.4MB","优于YOLOv8n基线+8.4%","2025-09"
"S008","远海航线 | L波段 | HH极化 | 多尺度","mAP50:0.898\nmAP50-95:0.630\n召回率:0.934\n多尺度AP:0.732","MBE-Net v2.2\n推理速度:102FPS\n模型大小:4.4MB","优于SSD基线+16.7%","2025-09"
"S009","沿海养殖区 | C波段 | VV极化 | 低对比度","mAP50:0.769\nmAP50-95:0.473\n召回率:0.803\n低对比度AP:0.410","MBE-Net v2.2\n推理速度:102FPS\n模型大小:4.4MB","优于YOLOv8n基线+7.6%","2025-09"
"S010","海峡航道 | X波段 | HH+VV | 高速运动","mAP50:0.830\nmAP50-95:0.550\n召回率:0.869\n运动目标AP:0.642","MBE-Net v2.2\n推理速度:102FPS\n模型大小:4.4MB","优于Faster R-CNN基线+11.3%","2025-09"
"S001","高分辨率近岸 | X波段 | HH极化 | 密集停靠","mAP50:0.881\nmAP50-95:0.606\n召回率:0.920\n小目标AP:0.478","MBE-Net v2.2\n推理速度:102FPS\n模型大小:4.4MB","优于Faster R-CNN基线+16.5%","2025-10"
"S002","中等分辨率开阔海域 | C波段 | VV极化 | 小型渔船","mAP50:0.855\nmAP50-95:0.578\n召回率:0.897\n小目标AP:0.515","MBE-Net v2.2\n推理速度:102FPS\n模型大小:4.4MB","优于YOLOv8n基线+12.7%","2025-10"
"S003","低分辨率大范围 | L波段 | HH极化 | 大型货轮","mAP50:0.915\nmAP50-95:0.648\n召回率:0.949\n虚警率:1.6%","MBE-Net v2.2\n推理速度:102FPS\n模型大小:4.4MB","优于SSD基线+18.5%","2025-10"
"S004","高海况复杂背景 | C波段 | VV+VH | 散斑严重","mAP50:0.805\nmAP50-95:0.523\n召回率:0.847\n虚警率:5.2%","MBE-Net v2.2\n推理速度:102FPS\n模型大小:4.4MB","优于YOLOv8n基线+9.8%","2025-10"
"S005","港口区域 | X波段 | HH极化 | 目标密集","mAP50:0.850\nmAP50-95:0.569\n召回率:0.885\n密集目标AP:0.688","MBE-Net v2.2\n推理速度:102FPS\n模型大小:4.4MB","优于Faster R-CNN基线+14.0%","2025-10"
"S006","岛屿周边 | C波段 | HH+HV | 背景杂乱","mAP50:0.826\nmAP50-95:0.543\n召回率:0.860\n虚警率:4.1%","MBE-Net v2.2\n推理速度:102FPS\n模型大小:4.4MB","优于YOLOv8n基线+10.9%","2025-10"
"S007","近岸浅水区 | X波段 | VV极化 | 小目标","mAP50:0.791\nmAP50-95:0.504\n召回率:0.831\n小目标AP:0.480","MBE-Net v2.2\n推理速度:102FPS\n模型大小:4.4MB","优于YOLOv8n基线+9.5%","2025-10"
"S008","远海航线 | L波段 | HH极化 | 多尺度","mAP50:0.905\nmAP50-95:0.640\n召回率:0.941\n多尺度AP:0.748","MBE-Net v2.2\n推理速度:102FPS\n模型大小:4.4MB","优于SSD基线+17.6%","2025-10"
"S009","沿海养殖区 | C波段 | VV极化 | 低对比度","mAP50:0.778\nmAP50-95:0.484\n召回率:0.812\n低对比度AP:0.425","MBE-Net v2.2\n推理速度:102FPS\n模型大小:4.4MB","优于YOLOv8n基线+8.6%","2025-10"
"S010","海峡航道 | X波段 | HH+VV | 高速运动","mAP50:0.839\nmAP50-95:0.561\n召回率:0.878\n运动目标AP:0.660","MBE-Net v2.2\n推理速度:102FPS\n模型大小:4.4MB","优于Faster R-CNN基线+12.3%","2025-10"
"S001","高分辨率近岸 | X波段 | HH极化 | 密集停靠","mAP50:0.885\nmAP50-95:0.612\n召回率:0.925\n小目标AP:0.488","MBE-Net v2.3\n推理速度:105FPS\n模型大小:4.3MB","优于Faster R-CNN基线+17.0%","2025-11"
"S002","中等分辨率开阔海域 | C波段 | VV极化 | 小型渔船","mAP50:0.860\nmAP50-95:0.585\n召回率:0.902\n小目标AP:0.528","MBE-Net v2.3\n推理速度:105FPS\n模型大小:4.3MB","优于YOLOv8n基线+13.3%","2025-11"
"S003","低分辨率大范围 | L波段 | HH极化 | 大型货轮","mAP50:0.919\nmAP50-95:0.654\n召回率:0.953\n虚警率:1.4%","MBE-Net v2.3\n推理速度:105FPS\n模型大小:4.3MB","优于SSD基线+19.1%","2025-11"
"S004","高海况复杂背景 | C波段 | VV+VH | 散斑严重","mAP50:0.812\nmAP50-95:0.531\n召回率:0.854\n虚警率:4.7%","MBE-Net v2.3\n推理速度:105FPS\n模型大小:4.3MB","优于YOLOv8n基线+10.5%","2025-11"
"S005","港口区域 | X波段 | HH极化 | 目标密集","mAP50:0.856\nmAP50-95:0.577\n召回率:0.892\n密集目标AP:0.701","MBE-Net v2.3\n推理速度:105FPS\n模型大小:4.3MB","优于Faster R-CNN基线+14.7%","2025-11"
"S006","岛屿周边 | C波段 | HH+HV | 背景杂乱","mAP50:0.833\nmAP50-95:0.552\n召回率:0.867\n虚警率:3.6%","MBE-Net v2.3\n推理速度:105FPS\n模型大小:4.3MB","优于YOLOv8n基线+11.6%","2025-11"
"S007","近岸浅水区 | X波段 | VV极化 | 小目标","mAP50:0.799\nmAP50-95:0.514\n召回率:0.839\n小目标AP:0.495","MBE-Net v2.3\n推理速度:105FPS\n模型大小:4.3MB","优于YOLOv8n基线+10.3%","2025-11"
